1948, 9,23,20
1948,11, 3,25
1948,11,23,26
1949, 1, 1, 0
1949, 1,15, 1
1949, 3,21, 4
1949, 4,29, 5
1949, 5, 3, 8
1949, 5, 5,10
1949, 9,23,20
1949,11, 3,25
1949,11,23,26
1950, 1, 1, 0
1950, 1,15, 1
1950, 3,21, 4
1950, 4,29, 5
1950, 5, 3, 8
1950, 5, 5,10
1950, 9,23,20
1950,11, 3,25
1950,11,23,26
1951, 1, 1, 0
1951, 1,15, 1
1951, 3,21, 4
1951, 4,29, 5
1951, 5, 3, 8
1951, 5, 5,10
1951, 9,24,20
1951,11, 3,25
1951,11,23,26
1952, 1, 1, 0
1952, 1,15, 1
1952, 3,21, 4
1952, 4,29, 5
1952, 5, 3, 8
1952, 5, 5,10
1952, 9,23,20
1952,11, 3,25
1952,11,23,26
1953, 1, 1, 0
1953, 1,15, 1
1953, 3,21, 4
1953, 4,29, 5
1953, 5, 3, 8
1953, 5, 5,10
1953, 9,23,20
1953,11, 3,25
1953,11,23,26
1954, 1, 1, 0
1954, 1,15, 1
1954, 3,21, 4
1954, 4,29, 5
1954, 5, 3, 8
1954, 5, 5,10
1954, 9,23,20
1954,11, 3,25
1954,11,23,26
1955, 1, 1, 0
1955, 1,15, 1
1955, 3,21, 4
1955, 4,29, 5
1955, 5, 3, 8
1955, 5, 5,10
1955, 9,24,20
1955,11, 3,25
1955,11,23,26
1956, 1, 1, 0
1956, 1,15, 1
1956, 3,21, 4
1956, 4,29, 5
1956, 5, 3, 8
1956, 5, 5,10
1956, 9,23,20
1956,11, 3,25
1956,11,23,26
1957, 1, 1, 0
1957, 1,15, 1
1957, 3,21, 4
1957, 4,29, 5
1957, 5, 3, 8
1957, 5, 5,10
1957, 9,23,20
1957,11, 3,25
1957,11,23,26
1958, 1, 1, 0
1958, 1,15, 1
1958, 3,21, 4
1958, 4,29, 5
1958, 5, 3, 8
1958, 5, 5,10
1958, 9,23,20
1958,11, 3,25
1958,11,23,26
1959, 1, 1, 0
1959, 1,15, 1
1959, 3,21, 4
1959, 4,10,28
1959, 4,29, 5
1959, 5, 3, 8
1959, 5, 5,10
1959, 9,24,20
1959,11, 3,25
1959,11,23,26
1960, 1, 1, 0
1960, 1,15, 1
1960, 3,20, 4
1960, 4,29, 5
1960, 5, 3, 8
1960, 5, 5,10
1960, 9,23,20
1960,11, 3,25
1960,11,23,26
1961, 1, 1, 0
1961, 1,15, 1
1961, 3,21, 4
1961, 4,29, 5
1961, 5, 3, 8
1961, 5, 5,10
1961, 9,23,20
1961,11, 3,25
1961,11,23,26
1962, 1, 1, 0
1962, 1,15, 1
1962, 3,21, 4
1962, 4,29, 5
1962, 5, 3, 8
1962, 5, 5,10
1962, 9,23,20
1962,11, 3,25
1962,11,23,26
1963, 1, 1, 0
1963, 1,15, 1
1963, 3,21, 4
1963, 4,29, 5
1963, 5, 3, 8
1963, 5, 5,10
1963, 9,24,20
1963,11, 3,25
1963,11,23,26
1964, 1, 1, 0
1964, 1,15, 1
1964, 3,20, 4
1964, 4,29, 5
1964, 5, 3, 8
1964, 5, 5,10
