1900, 4,23,2415132.125,1, 2,23.27096065
1900, 4,24,2415133.125,2, 3,24.27096065
1900, 4,25,2415134.125,3, 4,25.27096065
1900, 4,26,2415135.125,4, 5,26.27096065
1900, 4,27,2415136.125,5, 6,27.27096065
1900, 4,28,2415137.125,6, 7,28.27096065
1900, 4,29,2415138.125,0, 8,29.27096065
1900, 4,30,2415139.125,1, 9, 0.90092593
1900, 5, 1,2415140.125,2,10, 1.90092593
1900, 5, 2,2415141.125,3,11, 2.90092593
1900, 5, 3,2415142.125,4,12, 3.90092593
1900, 5, 4,2415143.125,5,13, 4.90092593
1900, 5, 5,2415144.125,6,14, 5.90092593
1900, 5, 6,2415145.125,0,15, 6.90092593
1900, 5, 7,2415146.125,1,16, 7.90092593
1900, 5, 8,2415147.125,2,17, 8.90092593
1900, 5, 9,2415148.125,3,18, 9.90092593
1900, 5,10,2415149.125,4,19,10.90092593
1900, 5,11,2415150.125,5,20,11.90092593
1900, 5,12,2415151.125,6,21,12.90092593
1900, 5,13,2415152.125,0,22,13.90092593
1900, 5,14,2415153.125,1,23,14.90092593
1900, 5,15,2415154.125,2,24,15.90092593
1900, 5,16,2415155.125,3,25,16.90092593
1900, 5,17,2415156.125,4,26,17.90092593
1900, 5,18,2415157.125,5,27,18.90092593
1900, 5,19,2415158.125,6,28,19.90092593
1900, 5,20,2415159.125,0,29,20.90092593
1900, 5,21,2415160.125,1,30,21.90092593
1900, 5,22,2415161.125,2,31,22.90092593
1900, 5,23,2415162.125,3,32,23.90092593
1900, 5,24,2415163.125,4,33,24.90092593
1900, 5,25,2415164.125,5,34,25.90092593
1900, 5,26,2415165.125,6,35,26.90092593
1900, 5,27,2415166.125,0,36,27.90092593
1900, 5,28,2415167.125,1,37,28.90092593
1900, 5,29,2415168.125,2,38, 0.50752315
1900, 5,30,2415169.125,3,39, 1.50752315
1900, 5,31,2415170.125,4,40, 2.50752315
1900, 6, 1,2415171.125,5,41, 3.50752315
1900, 6, 2,2415172.125,6,42, 4.50752315
1900, 6, 3,2415173.125,0,43, 5.50752315
1900, 6, 4,2415174.125,1,44, 6.50752315
1900, 6, 5,2415175.125,2,45, 7.50752315
1900, 6, 6,2415176.125,3,46, 8.50752315
1900, 6, 7,2415177.125,4,47, 9.50752315
1900, 6, 8,2415178.125,5,48,10.50752315
1900, 6, 9,2415179.125,6,49,11.50752315
1900, 6,10,2415180.125,0,50,12.50752315
1900, 6,11,2415181.125,1,51,13.50752315
1900, 6,12,2415182.125,2,52,14.50752315
1900, 6,13,2415183.125,3,53,15.50752315
1900, 6,14,2415184.125,4,54,16.50752315
